"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"202808","NC_035787.1",26136337,26136337,"+",3.80539817175558e-59,2.51135389625068e-56,-58.6526315789474
"204686","NC_035787.1",35987932,35987932,"+",7.89030126249983e-72,9.68480661299646e-69,-70.7075368050978
"206269","NC_035787.1",40995377,40995377,"+",2.56594421741399e-50,9.95860077653704e-48,71.5777812945086
"208209","NC_035787.1",45658937,45658937,"+",6.15703887668008e-36,8.96651692171874e-34,-57.1893733557597
"209104","NC_035787.1",47281093,47281093,"+",4.7931490934534e-25,2.94686329341242e-23,51.3155068728522
"209221","NC_035787.1",47492252,47492252,"+",8.20429344821578e-31,8.12157495242682e-29,-51.6129032258064
"211431","NC_035787.1",51397492,51397492,"+",3.97650815172379e-42,8.96186844841377e-40,-54.1486810551559
"211642","NC_035787.1",51474327,51474327,"+",2.12749019916248e-99,9.78689229678257e-96,-59.0588716181133
"211728","NC_035787.1",52112611,52112611,"+",1.42184465514424e-39,2.67613047671575e-37,-51.7070129650567
"212357","NC_035787.1",52788270,52788270,"+",2.90684507514925e-85,7.21668076677458e-82,-52.4861487950022
"212483","NC_035787.1",52849924,52849924,"+",4.02757633760622e-74,5.62447403172668e-71,-55.4358707547678
"213070","NC_035787.1",53342425,53342425,"+",3.61811020569376e-70,4.07120666471495e-67,-61.4756538763432
"213158","NC_035787.1",53514334,53514334,"+",1.51456149444578e-20,6.10378779601086e-19,58.2318760376314
"213566","NC_035787.1",55630870,55630870,"+",4.95416242021668e-38,8.46847684827091e-36,-58.328233374133
"213872","NC_035787.1",56264109,56264109,"+",1.97434092868162e-45,5.55396981455881e-43,-54.5055738494021
"214094","NC_035787.1",56536213,56536213,"+",6.89865887737773e-21,2.88040168006033e-19,-51.8018018018018
"214662","NC_035787.1",59103899,59103899,"+",6.44589120601908e-54,3.07372695350554e-51,-59.9689190744791
"214868","NC_035787.1",59437353,59437353,"+",2.56958772668935e-43,6.28953805340956e-41,-57.8983050847458
"216754","NC_035787.1",61149802,61149802,"+",9.11253374631776e-14,1.77980016685131e-12,-50.5952380952381
"217985","NC_035787.1",61910997,61910997,"+",1.14787790207277e-42,2.69386682483662e-40,-61.7579124789313
"219924","NC_035787.1",70578759,70578759,"+",1.43008676344692e-47,4.72887031638735e-45,-62.4653184536655
"220214","NC_035787.1",72586549,72586549,"+",8.54107531419928e-29,7.18603485957225e-27,52.8872569737954
"221448","NC_035788.1",11940135,11940135,"+",1.07786700472228e-76,1.75610347625054e-73,53.3793215387112
"221469","NC_035788.1",11942447,11942447,"+",8.69782955580021e-63,7.23617733764459e-60,-66.4072245322245
"222623","NC_035788.1",21824250,21824250,"+",8.27442301841619e-98,3.4977772904362e-94,-53.1648715824358
"223107","NC_035788.1",35758621,35758621,"+",1.44172368699192e-32,1.63521147315794e-30,57.1840892553966
"224520","NC_035788.1",46203997,46203997,"+",4.15390906446628e-71,4.88496551193459e-68,-59.6630056620506
"225339","NC_035788.1",48218754,48218754,"+",1.55770924286601e-77,2.61974853563988e-74,60.5472450371111
"225361","NC_035788.1",48219079,48219079,"+",1.17695304641544e-81,2.45444910989714e-78,50.764825358772
"225870","NC_035788.1",48520659,48520659,"+",2.34889309477076e-79,4.22279653503009e-76,51.4134119900582
"225923","NC_035788.1",48523420,48523420,"+",6.20399416328066e-87,1.61724675404939e-83,57.2023923269893
"226177","NC_035788.1",48573532,48573532,"+",6.66117779119295e-96,2.48060658929165e-92,52.7349222518826
"226187","NC_035788.1",48576354,48576354,"+",6.38913366497474e-39,1.1606331760755e-36,54.9029697147898
"226842","NC_035788.1",51732939,51732939,"+",1.54640892282984e-29,1.37425661802702e-27,57.9677827331425
"229017","NC_035788.1",56054015,56054015,"+",6.98951596796809e-89,2.10232529500157e-85,53.859649122807
"229022","NC_035788.1",56054093,56054093,"+",2.85336863233003e-67,2.82459999275278e-64,-56.6475164653295
"229023","NC_035788.1",56054102,56054102,"+",5.12919215709053e-47,1.62068991091725e-44,-56.6193853427896
"229227","NC_035788.1",56266257,56266257,"+",2.61172863659761e-53,1.1772121454848e-50,52.5849757212225
"229229","NC_035788.1",56266321,56266321,"+",2.86712313718652e-43,6.98501712705754e-41,50.5712530712531
"229319","NC_035788.1",56545636,56545636,"+",6.56497200337843e-33,7.70876508873546e-31,50.8263331859618
"229456","NC_035788.1",56875481,56875481,"+",4.54762128723294e-31,4.60375247078754e-29,-52.2873782140502
"231351","NC_035788.1",64582354,64582354,"+",4.15773105354742e-44,1.05567889430992e-41,-68.1609288075466
"231768","NC_035788.1",65572755,65572755,"+",2.93658200435861e-29,2.54601968898711e-27,52.2443133542107
"231775","NC_035788.1",65573007,65573007,"+",2.93058567852769e-50,1.13456456589012e-47,51.0166593661245
"231784","NC_035788.1",65579241,65579241,"+",2.81038980059329e-49,1.03670898385288e-46,-56.9850620660635
"231790","NC_035788.1",65581783,65581783,"+",1.30210391001823e-42,3.04421753515182e-40,-79.081001472754
"231813","NC_035788.1",65600084,65600084,"+",2.89637706694134e-45,8.03215635909151e-43,50.5023923444976
"232229","NC_035788.1",66163902,66163902,"+",2.58323851172935e-44,6.65628599358707e-42,59.9591727461348
"232251","NC_035788.1",66170051,66170051,"+",1.51882257176877e-30,1.46819818690357e-28,-68.8536953242836
"232471","NC_035788.1",67025455,67025455,"+",3.72261773100275e-34,4.74526025958231e-32,-58.7612822906941
"233134","NC_035788.1",68202688,68202688,"+",1.08198513348615e-23,5.92749694725132e-22,-50.546875
"233613","NC_035788.1",70228505,70228505,"+",9.04222043825368e-51,3.57138000189492e-48,54.2308351912193
"233627","NC_035788.1",70231742,70231742,"+",8.97579329530329e-60,6.23945249455078e-57,52.5336972395796
"233963","NC_035788.1",70762727,70762727,"+",1.55414035135746e-95,5.65298637759022e-92,50.3863122747411
"234033","NC_035788.1",70996376,70996376,"+",4.65425149836902e-42,1.04742081596081e-39,69.7157331832254
"234399","NC_035788.1",71413850,71413850,"+",2.13116409760109e-13,3.97719796547649e-12,-51.7503805175038
"234409","NC_035788.1",71421196,71421196,"+",9.88139229794929e-23,4.94091696078426e-21,-58.5528271597598
"234415","NC_035788.1",71422115,71422115,"+",3.49263451131431e-28,2.79423248456267e-26,-64.4013880855986
"235633","NC_035788.1",75693190,75693190,"+",2.31233062046639e-57,1.31514426181241e-54,54.4642857142857
"235752","NC_035788.1",76059470,76059470,"+",1.19863705974045e-19,4.43728318332262e-18,-50.9778070753681
"235753","NC_035788.1",76059473,76059473,"+",1.5072890121449e-40,3.04194241674074e-38,-69.3251533742331
"237771","NC_035788.1",83655135,83655135,"+",2.0196954971609e-121,2.10596328815654e-117,69.9167827246645
"241629","NC_035789.1",4864681,4864681,"+",7.12116332719763e-83,1.54694405636953e-79,65.8567269131462
"242141","NC_035789.1",7302118,7302118,"+",4.82983572932659e-45,1.3160628364644e-42,-52.3106380216785
"243042","NC_035789.1",9432287,9432287,"+",1.96405112190047e-74,2.76748940526294e-71,-55.6867097121334
"243349","NC_035789.1",10721394,10721394,"+",5.91413085737646e-35,8.00875675559296e-33,58.5865874363328
"243672","NC_035789.1",23133846,23133846,"+",2.7269936123592e-28,2.19856114630349e-26,-54.3191600186419
