geneProduct	methDiff	transcriptVariants
poly(ADP-ribose) glycohydrolase-like	61	5
polycomb protein EED-like	50	1
polyribonucleotide 5'-hydroxyl-kinase Clp1-like	52	3
polyribonucleotide 5'-hydroxyl-kinase Clp1-like	52	3
post-GPI attachment to proteins factor 3-like	-73	1
post-GPI attachment to proteins factor 3-like	-63	1
post-GPI attachment to proteins factor 3-like	-57	1
post-GPI attachment to proteins factor 3-like	-56	1
post-GPI attachment to proteins factor 3-like	-50	1
post-GPI attachment to proteins factor 3-like	52	1
post-GPI attachment to proteins factor 3-like	54	1
potassium channel subfamily T member 2-like	-69	15
pre-mRNA-processing-splicing factor 8	-75	1
pre-mRNA-splicing factor CWC22 homolog	52	2
pre-rRNA-processing protein TSR2 homolog	63	1
probable 28S rRNA (cytosine-C(5))-methyltransferase	50	1
probable 28S rRNA (cytosine-C(5))-methyltransferase	52	1
probable ATP-dependent RNA helicase DDX46	54	1
probable ATP-dependent RNA helicase DDX46	56	1
probable ATP-dependent RNA helicase DHX37	56	1
probable C-mannosyltransferase DPY19L3	-55	2
probable cation-transporting ATPase 13A3	57	1
probable cation-transporting ATPase 13A3	70	3
probable deoxyhypusine synthase	-51	3
probable E3 ubiquitin-protein ligase HERC4	67	2
probable E3 ubiquitin-protein ligase makorin-1	-55	1
probable global transcription activator SNF2L2	-55	1
probable global transcription activator SNF2L2	-52	1
probable helicase with zinc finger domain	-57	3
probable proline iminopeptidase	-65	2
probable proline iminopeptidase	-64	2
probable proline iminopeptidase	-64	2
probable proline iminopeptidase	-62	2
probable proline iminopeptidase	-55	2
probable protein phosphatase CG10417	-66	1
probable protein phosphatase CG10417	52	1
probable protein phosphatase CG10417	54	1
probable secreted beta-glucosidase adg3	53	6
probable serine/threonine-protein kinase MARK-A	-53	1
proline-serine-threonine phosphatase-interacting protein 2-like	-54	2
prominin-1-A-like	-64	7
prostaglandin G/H synthase 2-like	-62	1
proteasomal ATPase-associated factor 1-like	71	1
proteasome activator complex subunit 4B-like	57	1
proteasome subunit alpha type-3-like	57	1
protection of telomeres protein 1-like	54	1
protein AF-10-like	54	1
protein AMN1 homolog	-56	1
protein argonaute-2-like	-55	6
protein argonaute-2-like	-50	1
protein bark beetle-like	50	3
protein bark beetle-like	55	3
protein broad-minded-like	55	9
protein CASC3-like	66	2
protein CBFA2T1-like	-57	7
protein CBFA2T1-like	-55	7
protein diaphanous homolog 2-like	56	1
protein disulfide-isomerase A4-like	-67	1
protein disulfide-isomerase A4-like	59	1
protein FAM107B-like	-56	3
protein FAM13A-like	-59	1
protein FAM149B1-like	58	2
protein FAM149B1-like	63	2
protein FAM160B1-like	51	4
protein FAM160B1-like	55	4
protein FAM161A-like	-59	1
protein FAM184A-like	-51	1
protein FAM204A-like	-53	1
protein FAM210A-like	71	1
protein FAM53A-like	-60	5
protein FAM53A-like	-51	5
protein FAM81A-like	-50	1
protein FAM81A-like	-50	1
protein HID1-like	56	1
protein JTB-like	50	1
protein MON2 homolog	-63	3
protein MON2 homolog	-53	3
protein MON2 homolog	-52	3
protein MON2 homolog	51	3
protein NPAT-like	54	1
protein pangolin  isoforms A/H/I/S-like	-52	1
protein pangolin  isoforms A/H/I/S-like	-51	1
protein PAT1 homolog 1-like	60	2
protein PAT1 homolog 1-like	62	2
protein phosphatase 1 regulatory subunit 16A-like	69	5
protein piccolo-like	-62	17
protein polybromo-1-like	-51	20
protein prenyltransferase alpha subunit repeat-containing protein 1-like	-50	2
protein prune homolog 2-like	53	2
protein Red-like	50	1
protein Red-like	53	1
protein scribble homolog	-53	23
protein scribble homolog	53	23
protein SET-like	-64	1
protein SET-like	54	1
protein SET-like	60	1
protein strawberry notch homolog 1-like	-51	1
protein timeless homolog	-54	1
protein timeless homolog	54	1
protein transport protein Sec23A-like	50	4
protein transport protein Sec24A-like	55	3
protein transport protein Sec24C-like	54	4
protein transport protein Sec24C-like	58	4
protein transport protein Sec24C-like	58	4
protein transport protein Sec24C-like	63	4
protein transport protein Sec31A-like	-83	2
protein transport protein Sec31A-like	52	5
protein unc-13 homolog A-like	-50	22
protein unc-13 homolog A-like	54	22
protein-cysteine N-palmitoyltransferase HHAT-like	53	1
protein-cysteine N-palmitoyltransferase HHAT-like	54	1
protein-cysteine N-palmitoyltransferase HHAT-like	56	1
protocadherin Fat 1-like	50	1
protocadherin Fat 4-like	-52	1
protocadherin-7-like	52	1
protocadherin-7-like	57	1
proton myo-inositol cotransporter-like	50	1
puromycin-sensitive aminopeptidase-like	-63	1
putative ankyrin repeat protein RF_0381	53	1
putative elongator complex protein 1	-51	2
putative GPI-anchored protein pfl2	-71	6
putative helicase MOV-10	-60	3
putative helicase MOV-10	-52	3
putative helicase MOV-10	-51	3
putative helicase MOV-10	54	3
putative N-acetylated-alpha-linked acidic dipeptidase	61	1
putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1	-61	1
putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	-70	2
putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	-54	2
putative transcription factor p65 homolog	52	1
putative transcription factor p65 homolog	67	1
putative transcription factor p65 homolog	70	1
putative transcription factor p65 homolog	72	1
putative tRNA pseudouridine synthase Pus10	50	1
putative tRNA pseudouridine synthase Pus10	51	1
putative zinc finger protein 286B	54	2
pyridoxal phosphate phosphatase PHOSPHO2-like	-57	1
pyridoxal phosphate phosphatase PHOSPHO2-like	-52	1
pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1 2C mitochondrial-like	59	1
pyruvate kinase PKM-like	-57	1
rabenosyn-5-like	53	1
ral GTPase-activating protein subunit beta-like	51	4
ral GTPase-activating protein subunit beta-like	65	4
ralBP1-associated Eps domain-containing protein 1-like	-53	5
rap guanine nucleotide exchange factor 1-like	-67	13
rap guanine nucleotide exchange factor 1-like	-67	13
rapamycin-insensitive companion of mTOR-like	-55	1
ras association domain-containing protein 2-like	50	3
ras GTPase-activating protein nGAP-like	-50	1
ras GTPase-activating-like protein IQGAP1	-52	1
ras-related protein Rab-40B-like	55	1
receptor-type tyrosine-protein phosphatase alpha-like	55	8
receptor-type tyrosine-protein phosphatase epsilon-like	-50	1
receptor-type tyrosine-protein phosphatase kappa-like	51	1
receptor-type tyrosine-protein phosphatase N2-like	-68	1
regulatory-associated protein of mTOR-like	50	2
regulatory-associated protein of mTOR-like	55	2
regulatory-associated protein of mTOR-like	55	2
repressor of RNA polymerase III transcription MAF1 homolog	-55	3
retinal rod rhodopsin-sensitive cGMP 3' 2C5'-cyclic phosphodiesterase subunit delta-like	-58	1
rho family-interacting cell polarization regulator 2-like	51	11
rho GTPase-activating protein 18-like	53	4
rho GTPase-activating protein 20-like	-55	1
rho GTPase-activating protein 39-like	-70	10
rho GTPase-activating protein 39-like	-57	10
rho GTPase-activating protein 39-like	50	8
rho GTPase-activating protein 39-like	51	8
rho GTPase-activating protein 7-like	55	2
rho guanine nucleotide exchange factor 7-like	54	12
ribonuclease 3-like	52	2
ribosomal oxygenase 1-like	-50	1
ribosomal RNA-processing protein 8-like	-56	1
RING finger protein 24-like	-50	1
RNA polymerase-associated protein CTR9 homolog	-57	1
RNA polymerase-associated protein CTR9 homolog	-57	1
RNA polymerase-associated protein CTR9 homolog	-51	1
RNA polymerase-associated protein CTR9 homolog	50	1
RNA polymerase-associated protein CTR9 homolog	56	1
RNA-binding protein 28-like	52	1
RNA-binding protein 33-like	-52	1
rootletin-like	-58	9
rootletin-like	-51	9
ryanodine receptor-like	-64	1
ryanodine receptor-like	-58	1
ryanodine receptor-like	-58	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	-59	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	-50	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	55	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	56	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	56	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	64	1
sacsin-like	56	3
SAM and SH3 domain-containing protein 1-like	-59	6
scm-like with four MBT domains protein 1	-51	1
SEC14-like protein 2	73	2
secernin-2-like	-50	2
segment polarity protein dishevelled homolog DVL-3-like	-59	7
segment polarity protein dishevelled homolog DVL-3-like	-51	7
segment polarity protein dishevelled homolog DVL-3-like	-51	7
selenocysteine-specific elongation factor-like	-75	2
selenocysteine-specific elongation factor-like	-68	2
selenocysteine-specific elongation factor-like	-61	2
selenocysteine-specific elongation factor-like	-54	2
selenocysteine-specific elongation factor-like	-52	2
selenocysteine-specific elongation factor-like	-52	2
selenoprotein M-like	-57	1
semaphorin-5B-like	60	4
sentrin-specific protease 1-like	61	1
sentrin-specific protease 1-like	71	1
sentrin-specific protease 8-like	-51	1
serine beta-lactamase-like protein LACTB 2C mitochondrial	-56	1
serine--tRNA ligase 2C cytoplasmic-like	-63	1
serine-aspartate repeat-containing protein I-like	54	2
serine/arginine-rich splicing factor 7-like	59	4
serine/arginine-rich splicing factor 7-like	74	1
serine/threonine-protein kinase ATR-like	50	2
serine/threonine-protein kinase ATR-like	58	2
serine/threonine-protein kinase Chk2-like	57	1
serine/threonine-protein kinase mig-15-like	-73	6
serine/threonine-protein kinase mig-15-like	-73	6
serine/threonine-protein kinase mig-15-like	50	6
serine/threonine-protein kinase MRCK alpha-like	-53	9
serine/threonine-protein kinase mTOR-like	-61	4
serine/threonine-protein kinase Nek8-like	-51	1
serine/threonine-protein kinase SMG1-like	55	1
serine/threonine-protein kinase SMG1-like	66	1
serine/threonine-protein kinase TBK1-like	59	2
serine/threonine-protein kinase TNNI3K-like	-50	6
serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform-like	67	1
serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	61	1
serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like	68	6
serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like	55	3
serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like	56	1
SET and MYND domain-containing protein 4-like	62	1
SET domain-containing protein 4-like	55	1
short-chain dehydrogenase/reductase family 42E member 1-like	-55	2
sialin-like	60	1
SMC5-SMC6 complex localization factor protein 1-like	53	2
SMC5-SMC6 complex localization factor protein 1-like	59	2
sodium bicarbonate cotransporter 3-like	-65	4
sodium/glucose cotransporter 4-like	-53	2
sodium/hydrogen exchanger 8-like	56	2
solute carrier family 12 member 6-like	56	6
solute carrier family 23 member 1-like	52	3
solute carrier family 28 member 3-like	52	1
solute carrier family 28 member 3-like	65	2
solute carrier organic anion transporter family member 4A1-like	-65	13
sorbitol dehydrogenase-like	-55	1
sorting nexin-10-like	-58	1
sorting nexin-4-like	58	1
sperm flagellar protein 1-like	-61	5
sperm flagellar protein 1-like	52	2
sperm flagellar protein 2-like	-53	8
sperm flagellar protein 2-like	-53	8
sperm-associated antigen 6	50	1
sperm-tail PG-rich repeat-containing protein 2-like	-55	1
spermatogenesis-associated protein 5-like protein 1	-50	1
spindle and centriole-associated protein 1-like	-52	5
splicing factor 3B subunit 1-like	52	3
splicing factor 3B subunit 1-like	61	3
src kinase-associated phosphoprotein 2-B-like	54	1
STE20-related kinase adapter protein alpha-like	-53	3
STE20-related kinase adapter protein alpha-like	-53	3
sterol regulatory element-binding protein cleavage-activating protein-like	-53	1
sterol regulatory element-binding protein cleavage-activating protein-like	-52	1
structural maintenance of chromosomes flexible hinge domain-containing protein 1-like	-62	1
structural maintenance of chromosomes protein 1A-like	-51	1
structural maintenance of chromosomes protein 5-like	63	1
structural maintenance of chromosomes protein 5-like	64	1
succinate--CoA ligase [GDP-forming] subunit beta 2C mitochondrial-like	-50	2
sulfatase-modifying factor 2-like	-50	1
SUMO-activating enzyme subunit 1-like	52	1
suppressor of cytokine signaling 4-like	-59	1
suppressor of cytokine signaling 4-like	-57	1
SWI/SNF complex subunit SMARCC2-like	-51	1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B-like	50	1
synaptojanin-1-like	80	4
synaptojanin-2-binding protein-like	59	2
T-complex protein 1 subunit eta-like	55	1
TALPID3 protein-like	52	2
TATA-box-binding protein-like	51	1
tectonic-3-like	-57	3
telomere repeats-binding bouquet formation protein 2-like	-53	1
telomere repeats-binding bouquet formation protein 2-like	-51	1
telomere-associated protein RIF1-like	50	1
telomere-associated protein RIF1-like	52	1
telomere-associated protein RIF1-like	56	1
testis-expressed protein 9-like	63	1
tetratricopeptide repeat protein 30A-like	50	4
tetratricopeptide repeat protein 37-like	-58	3
TFIIH basal transcription factor complex helicase XPB subunit-like	52	1
TGF-beta-activated kinase 1 and MAP3K7-binding protein 1-like	54	1
thioredoxin domain-containing protein 11-like	-54	1
thioredoxin domain-containing protein 5-like	51	1
thioredoxin domain-containing protein 5-like	53	1
THO complex subunit 1-like	-55	2
threonine synthase-like 1	-56	3
thymosin beta-like	54	10
tight junction protein ZO-1-like	-67	12
tight junction protein ZO-1-like	-56	12
titin homolog	-51	11
titin homolog	-51	10
titin homolog	59	1
titin homolog	63	1
titin-like	-59	1
titin-like	-55	1
titin-like	-50	1
titin-like	50	1
titin-like	55	6
titin-like	55	6
TNF receptor-associated factor 3-like	-61	1
TNFAIP3-interacting protein 1-like	-55	4
trafficking protein particle complex subunit 13-like	-65	1
transaldolase-like	60	2
transcription elongation factor SPT6-like	-55	2
transcription elongation factor SPT6-like	-51	2
transcription factor 25-like	-58	1
transcription factor 25-like	53	1
transcription factor E2F3-like	50	2
transcription factor E2F5-like	59	2
transcription factor E2F7-like	-74	1
transcription factor E2F7-like	-60	1
transcription factor E2F7-like	60	1
transcription factor SPT20 homolog	52	4
transcription initiation factor TFIID subunit 5-like	-65	1
transcription initiation factor TFIID subunit 5-like	-52	1
transcription initiation factor TFIID subunit 5-like	57	1
transcription initiation factor TFIID subunit 6-like	54	2
transcription initiation factor TFIID subunit 9B-like	-58	2
transcriptional activator protein Pur-beta-B-like	-50	1
transformation/transcription domain-associated protein-like	-52	3
transformation/transcription domain-associated protein-like	58	4
transformation/transcription domain-associated protein-like	60	1
transformation/transcription domain-associated protein-like	71	4
transforming acidic coiled-coil-containing protein 1-like	-51	5
transforming acidic coiled-coil-containing protein 1-like	64	5
transient receptor potential cation channel subfamily M member 1-like	52	4
transmembrane 7 superfamily member 3-like	-51	1
transmembrane 9 superfamily member 2-like	70	1
transmembrane protein 168-like	-51	2
transmembrane protein 177-like	52	1
transmembrane protein 177-like	52	1
transmembrane protein 19-like	51	1
transmembrane protein 19-like	55	1
transmembrane protein 33-like	61	1
transmembrane protein 39A-like	-50	3
transmembrane protein 41B-like	-52	4
transmembrane protein 68-like	53	3
trichohyalin-like	-56	13
trichohyalin-like	-52	13
trichohyalin-like	69	2
tripartite motif-containing protein 2-like	50	3
triple functional domain protein-like	50	1
tRNA (uracil-5-)-methyltransferase homolog A-like	-56	3
tRNA selenocysteine 1-associated protein 1-like	-75	2
tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like	-51	1
tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	54	4
tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	56	4
tubulin-specific chaperone D-like	-60	1
tubulin-specific chaperone D-like	-59	1
tubulin-specific chaperone D-like	-58	1
tubulin-specific chaperone D-like	-57	1
tubulin-specific chaperone D-like	-55	1
tubulin-specific chaperone D-like	-50	1
tubulin-specific chaperone D-like	56	1
tumor necrosis factor alpha-induced protein 3-like	-53	9
tumor necrosis factor alpha-induced protein 3-like	50	10
tumor suppressor candidate 2-like	60	1
tumor suppressor candidate 2-like	76	1
twitchin-like	59	1
tyrosine--tRNA ligase 2C cytoplasmic-like	-53	2
tyrosine-protein kinase SRK2-like	52	1
tyrosine-protein kinase Tec-like	50	3
tyrosine-protein phosphatase 10D-like	52	1
tyrosine-protein phosphatase non-receptor type 4-like	54	9
tyrosine-protein phosphatase non-receptor type 9-like	55	1
U1 small nuclear ribonucleoprotein A-like	-53	1
U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2-like	70	1
U3 small nucleolar RNA-associated protein 4 homolog	-58	1
U4/U6 small nuclear ribonucleoprotein Prp3-like	70	1
U4/U6 small nuclear ribonucleoprotein Prp31-like	52	2
U5 small nuclear ribonucleoprotein 200 kDa helicase-like	-74	1
U5 small nuclear ribonucleoprotein 200 kDa helicase-like	-59	1
U5 small nuclear ribonucleoprotein 200 kDa helicase-like	51	1
ubiquitin carboxyl-terminal hydrolase 19-like	-64	2
ubiquitin carboxyl-terminal hydrolase 22-like	55	1
ubiquitin carboxyl-terminal hydrolase 26-like	51	3
ubiquitin carboxyl-terminal hydrolase 5-like	61	1
ubiquitin carboxyl-terminal hydrolase 8-like	51	4
ubiquitin carboxyl-terminal hydrolase BAP1-like	50	4
ubiquitin carboxyl-terminal hydrolase CYLD-like	50	1
ubiquitin carboxyl-terminal hydrolase CYLD-like	53	1
ubiquitin carboxyl-terminal hydrolase CYLD-like	55	1
ubiquitin domain-containing protein 2-like	-64	2
UDP-D-xylose:L-fucose alpha-12C3-D-xylosyltransferase-like	51	4
UDP-galactose/UDP-glucose transporter 7-like	-53	1
UDP-glucose 6-dehydrogenase-like	54	6
uncharacterized LOC111100109	57	1
uncharacterized LOC111100109	78	1
uncharacterized LOC111100158	59	1
uncharacterized LOC111100323	70	1
uncharacterized LOC111100403	53	12
uncharacterized LOC111100406	53	5
uncharacterized LOC111100441	53	8
uncharacterized LOC111100878	-61	3
uncharacterized LOC111100878	-54	2
uncharacterized LOC111101942	-50	1
uncharacterized LOC111102878	-61	3
uncharacterized LOC111102922	50	1
uncharacterized LOC111103357	-68	12
uncharacterized LOC111103465	-69	12
uncharacterized LOC111103465	-56	12
uncharacterized LOC111103465	-52	12
uncharacterized LOC111103465	63	12
uncharacterized LOC111103465	67	12
uncharacterized LOC111103479	56	1
uncharacterized LOC111103584	61	2
uncharacterized LOC111103843	59	1
uncharacterized LOC111104023	56	3
uncharacterized LOC111104287	56	3
uncharacterized LOC111104769	52	4
uncharacterized LOC111104775	-53	3
uncharacterized LOC111105870	-60	1
uncharacterized LOC111106144	57	2
uncharacterized LOC111106952	-53	2
uncharacterized LOC111106952	51	2
uncharacterized LOC111107105	52	1
uncharacterized LOC111107105	58	1
uncharacterized LOC111107406	-50	1
uncharacterized LOC111107463	52	1
uncharacterized LOC111107627	-51	4
uncharacterized LOC111108010	-53	6
uncharacterized LOC111108066	50	2
uncharacterized LOC111108066	52	2
uncharacterized LOC111108228	-61	4
uncharacterized LOC111108456	-56	1
uncharacterized LOC111108839	-57	1
uncharacterized LOC111108840	-64	1
uncharacterized LOC111108840	-51	1
uncharacterized LOC111109132	51	2
uncharacterized LOC111109533	50	1
uncharacterized LOC111109772	51	1
uncharacterized LOC111110126	-53	1
uncharacterized LOC111110126	-52	1
uncharacterized LOC111110478	-52	3
uncharacterized LOC111110491	-55	1
uncharacterized LOC111110491	-55	1
uncharacterized LOC111110539	-61	1
uncharacterized LOC111110539	-52	1
uncharacterized LOC111111251	-60	1
uncharacterized LOC111111251	61	1
uncharacterized LOC111112036	-58	1
uncharacterized LOC111112036	-57	1
uncharacterized LOC111112629	-62	14
uncharacterized LOC111112874	52	2
uncharacterized LOC111112966	61	3
uncharacterized LOC111113591	55	1
uncharacterized LOC111114657	54	1
uncharacterized LOC111114886	54	2
uncharacterized LOC111114886	58	2
uncharacterized LOC111114920	53	1
uncharacterized LOC111114920	56	1
uncharacterized LOC111115190	-61	1
uncharacterized LOC111115424	-69	2
uncharacterized LOC111115424	-50	2
uncharacterized LOC111116028	-53	1
uncharacterized LOC111116028	56	1
uncharacterized LOC111116123	61	1
uncharacterized LOC111116784	64	1
uncharacterized LOC111116988	56	2
uncharacterized LOC111117388	-56	3
uncharacterized LOC111117388	-53	3
uncharacterized LOC111117388	-53	3
uncharacterized LOC111117739	-51	1
uncharacterized LOC111117739	61	6
uncharacterized LOC111117739	61	6
uncharacterized LOC111117739	65	1
uncharacterized LOC111117740	-55	2
uncharacterized LOC111117750	-51	3
uncharacterized LOC111117750	61	3
uncharacterized LOC111117750	65	3
uncharacterized LOC111118095	-53	1
uncharacterized LOC111118372	55	3
uncharacterized LOC111118373	55	3
uncharacterized LOC111118472	-61	1
uncharacterized LOC111118521	-69	1
uncharacterized LOC111118921	-55	1
uncharacterized LOC111118933	50	1
uncharacterized LOC111118933	53	1
uncharacterized LOC111119012	-53	6
uncharacterized LOC111119012	50	6
uncharacterized LOC111119100	50	9
uncharacterized LOC111119100	55	9
uncharacterized LOC111119100	56	9
uncharacterized LOC111119469	-63	3
uncharacterized LOC111119469	52	3
uncharacterized LOC111119651	51	1
uncharacterized LOC111119688	51	1
uncharacterized LOC111119688	57	1
uncharacterized LOC111120045	-68	3
uncharacterized LOC111120055	54	1
uncharacterized LOC111120055	56	1
uncharacterized LOC111120120	-63	1
uncharacterized LOC111120120	67	1
uncharacterized LOC111120228	53	1
uncharacterized LOC111120228	64	1
uncharacterized LOC111120604	-51	1
uncharacterized LOC111120604	51	1
uncharacterized LOC111121255	-53	1
uncharacterized LOC111121323	-74	7
uncharacterized LOC111121323	-53	7
uncharacterized LOC111121323	53	7
uncharacterized LOC111121323	57	7
uncharacterized LOC111121323	57	
uncharacterized LOC111121323	57	
uncharacterized LOC111121323	57	
uncharacterized LOC111121323	57	
uncharacterized LOC111121323	57	
uncharacterized LOC111121323	57	
uncharacterized LOC111121395	-57	3
uncharacterized LOC111121395	-57	
uncharacterized LOC111121395	-57	
uncharacterized LOC111122604	-77	3
uncharacterized LOC111122604	-77	
uncharacterized LOC111122604	-77	
uncharacterized LOC111122604	-50	5
uncharacterized LOC111122604	-50	
uncharacterized LOC111122604	-50	
uncharacterized LOC111122604	-50	
uncharacterized LOC111122604	-50	
uncharacterized LOC111122666	-60	1
uncharacterized LOC111122837	-59	10
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111122837	-59	
uncharacterized LOC111123227	70	1
uncharacterized LOC111124121	-51	1
uncharacterized LOC111124139	54	1
uncharacterized LOC111124392	-57	1
uncharacterized LOC111124749	50	2
uncharacterized LOC111124749	50	
uncharacterized LOC111124835	50	3
uncharacterized LOC111124835	50	
uncharacterized LOC111124835	50	
uncharacterized LOC111125335	-54	1
uncharacterized LOC111125487	-59	1
uncharacterized LOC111125624	63	2
uncharacterized LOC111125624	63	
uncharacterized LOC111125625	63	1
uncharacterized LOC111125959	57	1
uncharacterized LOC111126034	-55	1
uncharacterized LOC111126204	-60	1
uncharacterized LOC111126346	-52	2
uncharacterized LOC111126494	58	1
uncharacterized LOC111126576	59	2
uncharacterized LOC111126788	-59	4
uncharacterized LOC111126788	-55	4
uncharacterized LOC111126788	60	3
uncharacterized LOC111128027	58	3
uncharacterized LOC111128999	59	2
uncharacterized LOC111129310	-53	1
uncharacterized LOC111129446	-50	1
uncharacterized LOC111129536	50	1
uncharacterized LOC111129611	55	1
uncharacterized LOC111129847	-51	1
uncharacterized LOC111129868	-53	1
uncharacterized LOC111130385	-50	1
uncharacterized LOC111130701	-61	1
uncharacterized LOC111130701	-52	1
uncharacterized LOC111130701	52	1
uncharacterized LOC111130887	55	1
uncharacterized LOC111130887	57	1
uncharacterized LOC111130952	53	1
uncharacterized LOC111130952	55	1
uncharacterized LOC111131326	56	1
uncharacterized LOC111131411	-51	1
uncharacterized LOC111132409	54	6
uncharacterized LOC111132419	-51	1
uncharacterized LOC111132500	-67	1
uncharacterized LOC111133291	52	3
uncharacterized LOC111133354	53	2
uncharacterized LOC111133354	72	2
uncharacterized LOC111133510	55	1
uncharacterized LOC111134057	-50	1
uncharacterized LOC111134058	-60	1
uncharacterized LOC111134058	-51	1
uncharacterized LOC111134427	60	2
uncharacterized LOC111134646	-60	2
uncharacterized LOC111134791	55	1
uncharacterized LOC111134793	-55	3
uncharacterized LOC111134793	-51	3
uncharacterized LOC111135118	70	2
uncharacterized LOC111135255	-50	4
uncharacterized LOC111135324	-80	1
uncharacterized LOC111135328	59	3
uncharacterized LOC111135780	-51	3
uncharacterized LOC111135780	68	3
uncharacterized LOC111135951	-51	1
uncharacterized LOC111136127	73	1
uncharacterized LOC111136295	56	1
uncharacterized LOC111136461	52	3
uncharacterized LOC111136714	64	1
uncharacterized LOC111136714	74	1
uncharacterized LOC111136768	-53	1
uncharacterized LOC111136911	53	1
uncharacterized LOC111136989	51	1
uncharacterized LOC111137232	53	2
uncharacterized LOC111137232	55	2
uncharacterized LOC111137529	-63	1
uncharacterized LOC111137529	-59	1
uncharacterized LOC111137529	-52	1
uncharacterized LOC111137529	50	1
uncharacterized LOC111137531	59	1
uncharacterized LOC111137876	-61	1
uncharacterized protein C19orf47-like	-50	1
uncharacterized protein C19orf47-like	55	1
uncharacterized protein CG43867-like	-53	1
uncharacterized protein DDB_G0284459-like	-54	1
uncharacterized protein KIAA0825-like	51	1
uncharacterized protein KIAA1109-like	66	4
uncharacterized protein ZC84.1-like	-57	18
unconventional myosin-Ie-like	52	3
unconventional myosin-Va-like	-54	12
unconventional myosin-Va-like	50	12
unconventional myosin-Va-like	55	12
unconventional myosin-VIIb-like	50	9
unconventional myosin-XVIIIa-like	-56	9
UPF0691 protein C9orf116 homolog	-62	1
uracil phosphoribosyltransferase homolog	54	1
V-type proton ATPase subunit B	-57	1
vacuolar protein sorting-associated protein 13D-like	-51	1
vacuolar protein sorting-associated protein 51 homolog	57	1
vacuolar protein sorting-associated protein 72 homolog	-53	1
vacuolar protein-sorting-associated protein 25-like	-62	1
vacuolar-sorting protein SNF8-like	57	1
voltage-dependent calcium channel type A subunit alpha-1-like	63	1
voltage-dependent T-type calcium channel subunit alpha-1H-like	54	1
VPS10 domain-containing receptor SorCS1-like	52	1
VPS9 domain-containing protein 1-like	52	1
WAS/WASL-interacting protein family member 1-like	51	1
WD and tetratricopeptide repeats protein 1-like	58	1
WD repeat and FYVE domain-containing protein 3-like	51	1
WD repeat and HMG-box DNA-binding protein 1-like	53	1
WD repeat and HMG-box DNA-binding protein 1-like	56	1
WD repeat-containing protein 1-B-like	50	2
WD repeat-containing protein 38-like	-53	1
WD repeat-containing protein 49-like	57	8
WD repeat-containing protein 5-like	52	3
WD repeat-containing protein 5-like	54	3
WD repeat-containing protein 81-like	-58	1
WD repeat-containing protein 81-like	53	1
WD repeat-containing protein 81-like	54	1
WD repeat-containing protein 81-like	54	1
WD repeat-containing protein 81-like	57	1
WD repeat-containing protein 81-like	58	1
WD repeat-containing protein 81-like	63	1
WD repeat-containing protein 81-like	65	1
WD repeat-containing protein 90-like	59	1
WW domain-binding protein 4-like	-51	1
WW domain-containing adapter protein with coiled-coil-like	-64	1
WW domain-containing oxidoreductase-like	-50	1
X-ray repair cross-complementing protein 5-like	-69	1
YTH domain-containing family protein 1-like	-67	1
zinc finger and BTB domain-containing protein 17-like	-56	1
zinc finger and BTB domain-containing protein 41-like	68	1
zinc finger CCCH domain-containing protein 10-like	52	3
zinc finger CCCH domain-containing protein 10-like	54	3
zinc finger CCCH domain-containing protein 10-like	58	3
zinc finger CCCH domain-containing protein 15-like	-50	1
zinc finger protein 236-like	56	1
zinc finger protein 239-like	-60	1
zinc finger protein 26-like	-54	10
zinc finger protein 26-like	-51	2
zinc finger protein 26-like	63	10
zinc finger protein 277-like	-53	3
zinc finger protein 354B-like	-51	2
zinc finger protein 407-like	-84	1
zinc finger protein 436-like	-51	1
zinc finger protein 593-like	50	1
zinc finger protein 664-like	60	1
zinc finger protein 76-like	-53	2
zinc finger protein 845-like	-62	1
zinc finger protein 878-like	59	1
