ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
B5DF93	PAT1 homolog 1, processing body mRNA decay factor(Patl1)	Rattus norvegicus			GO:0000290~deadenylation-dependent decapping of nuclear-transcribed mRNA,GO:0033962~cytoplasmic mRNA processing body assembly,	GO:0000932~cytoplasmic mRNA processing body,GO:0016605~PML body,GO:0016607~nuclear speck,GO:0030014~CCR4-NOT complex,GO:0043231~intracellular membrane-bounded organelle,	GO:0003723~RNA binding,GO:0008266~poly(U) RNA binding,GO:0034046~poly(G) binding,GO:0044822~poly(A) RNA binding,	IPR019167:Topoisomerase II-associated protein PAT1,	rno03018:RNA degradation,				Complete proteome,Cytoplasm,Methylation,Nucleus,Phosphoprotein,Reference proteome,RNA-binding,
Q9U489	Protein lin-41(lin-41)	Caenorhabditis elegans			GO:0000003~reproduction,GO:0002119~nematode larval development,GO:0006898~receptor-mediated endocytosis,GO:0006915~apoptotic process,GO:0007275~multicellular organism development,GO:0007276~gamete generation,GO:0008406~gonad development,GO:0009957~epidermal cell fate specification,GO:0010171~body morphogenesis,GO:0018991~oviposition,GO:0018996~molting cycle, collagen and cuticulin-based cuticle,GO:0040011~locomotion,GO:0040018~positive regulation of multicellular organism growth,GO:0040027~negative regulation of vulval development,GO:0040034~regulation of development, heterochronic,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0044268~multicellular organismal protein metabolic process,GO:0045138~nematode male tail tip morphogenesis,GO:0045604~regulation of epidermal cell differentiation,	GO:0005622~intracellular,GO:0005737~cytoplasm,	GO:0004842~ubiquitin-protein transferase activity,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,	IPR000315:Zinc finger, B-box,IPR001258:NHL repeat,IPR001298:Filamin/ABP280 repeat,IPR003649:B-box, C-terminal,IPR011042:Six-bladed beta-propeller, TolB-like,IPR013017:NHL repeat, subgroup,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR017868:Filamin/ABP280 repeat-like,				SM00336:BBOX,SM00502:BBC,SM00557:IG_FLMN,	3D-structure,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Developmental protein,Metal-binding,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Protein lin-41,compositionally biased region:Gln-rich,compositionally biased region:Poly-Pro,repeat:Filamin,repeat:NHL 1,repeat:NHL 2,repeat:NHL 3,repeat:NHL 4,repeat:NHL 5,repeat:NHL 6,splice variant,zinc finger region:B box-type; atypical,zinc finger region:RING-type,
P35832	Protein tyrosine phosphatase 99A(Ptp99A)	Drosophila melanogaster			GO:0006470~protein dephosphorylation,GO:0007414~axonal defasciculation,GO:0007415~defasciculation of motor neuron axon,GO:0008045~motor neuron axon guidance,GO:0010906~regulation of glucose metabolic process,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,	GO:0004725~protein tyrosine phosphatase activity,GO:0005001~transmembrane receptor protein tyrosine phosphatase activity,	IPR000242:Protein-tyrosine phosphatase, receptor/non-receptor type,IPR000387:Protein-tyrosine/Dual specificity phosphatase,IPR003595:Protein-tyrosine phosphatase, catalytic,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,IPR016130:Protein-tyrosine phosphatase, active site,				SM00060:FN3,SM00194:PTPc,SM00404:PTPc_motif,	Alternative splicing,Coiled coil,Complete proteome,Glycoprotein,Hydrolase,Membrane,Protein phosphatase,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	active site:Phosphocysteine intermediate,chain:Tyrosine-protein phosphatase 99A,compositionally biased region:Gln-rich,compositionally biased region:Poly-Ser,compositionally biased region:Ser-rich,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Tyrosine-protein phosphatase 1,domain:Tyrosine-protein phosphatase 2,glycosylation site:N-linked (GlcNAc...),sequence conflict,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q6DHC1	RAB18B, member RAS oncogene family(rab18b)	Danio rerio			GO:0001654~eye development,GO:0006810~transport,GO:0007264~small GTPase mediated signal transduction,GO:0007275~multicellular organism development,GO:0007420~brain development,GO:0015031~protein transport,GO:0034389~lipid particle organization,GO:0043009~chordate embryonic development,	GO:0005622~intracellular,	GO:0000166~nucleotide binding,GO:0005525~GTP binding,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR025662:Sigma-54 interaction domain, ATP-binding site 1,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Complete proteome,Developmental protein,GTP-binding,Lipoprotein,Methylation,Nucleotide-binding,Palmitate,Prenylation,Protein transport,Reference proteome,Transport,	chain:Ras-related protein Rab-18-B,lipid moiety-binding region:S-geranylgeranyl cysteine,lipid moiety-binding region:S-palmitoyl cysteine,modified residue,nucleotide phosphate-binding region:GTP,propeptide:Removed in mature form,short sequence motif:Effector region,
Q8CGC6	RNA binding motif protein 28(Rbm28)	Mus musculus			GO:0006397~mRNA processing,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005681~spliceosomal complex,GO:0005730~nucleolus,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	mmu03008:Ribosome biogenesis in eukaryotes,			SM00360:RRM,	3D-structure,Acetylation,Complete proteome,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,RNA-binding,Spliceosome,	chain:RNA-binding protein 28,compositionally biased region:Asp/Glu-rich (acidic),domain:RRM 1,domain:RRM 2,domain:RRM 3,domain:RRM 4,helix,modified residue,sequence conflict,strand,turn,
Q8VC34	RNA polymerase II associated protein 2(Rpap2)	Mus musculus			GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0009301~snRNA transcription,GO:0070940~dephosphorylation of RNA polymerase II C-terminal domain,	GO:0005634~nucleus,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0016591~DNA-directed RNA polymerase II, holoenzyme,	GO:0004721~phosphoprotein phosphatase activity,GO:0004722~protein serine/threonine phosphatase activity,GO:0008420~CTD phosphatase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,	IPR007308:Protein of unknown function DUF408,					Acetylation,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Hydrolase,Metal-binding,Nucleus,Phosphoprotein,Protein phosphatase,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:RNA polymerase II-associated protein 2,sequence conflict,splice variant,transmembrane region,
Q06455	RUNX1 translocation partner 1(RUNX1T1)	Homo sapiens			GO:0006091~generation of precursor metabolites and energy,GO:0006351~transcription, DNA-templated,GO:0045599~negative regulation of fat cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0016363~nuclear matrix,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0046872~metal ion binding,	IPR002893:Zinc finger, MYND-type,IPR003894:TAFH/NHR1,IPR013289:Eight-Twenty-One,IPR013290:Myeloid transforming gene on chromosome 8 (MTG8),IPR014896:NHR2-like,	hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05221:Acute myeloid leukemia,			SM00549:TAFH,	3D-structure,Alternative splicing,Chromosomal rearrangement,Coiled coil,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Proto-oncogene,Reference proteome,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Protein CBFA2T1,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,domain:TAFH,helix,modified residue,mutagenesis site,region of interest:Important for oligomerization,sequence conflict,sequence variant,site:Breakpoint for translocation to form AML1-MTG8 in AML-M2,splice variant,strand,zinc finger region:MYND-type,
Q9BY12	S-phase cyclin A associated protein in the ER(SCAPER)	Homo sapiens				GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,	GO:0003676~nucleic acid binding,GO:0008270~zinc ion binding,	IPR003604:Zinc finger, U1-type,				SM00451:ZnF_U1,	Alternative splicing,Coiled coil,Complete proteome,Endoplasmic reticulum,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Zinc,Zinc-finger,	chain:S phase cyclin A-associated protein in the endoplasmic reticulum,compositionally biased region:Glu-rich,modified residue,mutagenesis site,sequence conflict,sequence variant,splice variant,zinc finger region:C2H2-type,
Q5QNA6	SCAR-like protein 2(LOC9268854)	Oryza sativa Japonica Group			GO:0030036~actin cytoskeleton organization,	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,		IPR003124:WH2 domain,					Actin-binding,Complete proteome,Cytoplasm,Cytoskeleton,Reference proteome,
P53992	SEC24 homolog C, COPII coat complex component(SEC24C)	Homo sapiens		Intracellular trafficking and secretion,	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0006886~intracellular protein transport,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0048208~COPII vesicle coating,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0012507~ER to Golgi transport vesicle membrane,GO:0030127~COPII vesicle coat,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0008270~zinc ion binding,	IPR002035:von Willebrand factor, type A,IPR006895:Zinc finger, Sec23/Sec24-type,IPR006896:Sec23/Sec24, trunk domain,IPR006900:Sec23/Sec24, helical domain,IPR007123:Gelsolin domain,IPR012990:Sec23/Sec24 beta-sandwich,	hsa04141:Protein processing in endoplasmic reticulum,				3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Endoplasmic reticulum,ER-Golgi transport,Golgi apparatus,Membrane,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Transport,	chain:Protein transport protein Sec24C,helix,modified residue,region of interest:Zinc finger-like,sequence variant,strand,turn,
Q5F3X8	SEC31 homolog A (S. cerevisiae)(SEC31A)	Gallus gallus			GO:0015031~protein transport,GO:0016192~vesicle-mediated transport,GO:0051592~response to calcium ion,	GO:0005789~endoplasmic reticulum membrane,GO:0012507~ER to Golgi transport vesicle membrane,GO:0030120~vesicle coat,GO:0030134~ER to Golgi transport vesicle,GO:0048471~perinuclear region of cytoplasm,GO:0070971~endoplasmic reticulum exit site,		IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,	gga04141:Protein processing in endoplasmic reticulum,			SM00320:WD40,	Coiled coil,Complete proteome,Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,ER-Golgi transport,Membrane,Protein transport,Reference proteome,Repeat,Transport,WD repeat,	chain:Protein transport protein Sec31A,compositionally biased region:Pro-rich,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,
Q6P5D8	SMC hinge domain containing 1(Smchd1)	Mus musculus			GO:0009048~dosage compensation by inactivation of X chromosome,GO:0051276~chromosome organization,GO:0060821~inactivation of X chromosome by DNA methylation,	GO:0000784~nuclear chromosome, telomeric region,GO:0001740~Barr body,GO:0005694~chromosome,	GO:0005524~ATP binding,	IPR003594:Histidine kinase-like ATPase, ATP-binding domain,IPR010935:SMCs flexible hinge,				SM00968:SM00968,	Acetylation,Chromosome,Complete proteome,Isopeptide bond,Phosphoprotein,Reference proteome,Ubl conjugation,	chain:Structural maintenance of chromosomes flexible hinge domain-containing protein 1,modified residue,sequence conflict,
A0JPH4	SREBF chaperone S homeolog(scap.S)	Xenopus laevis			GO:0008203~cholesterol metabolic process,GO:0032933~SREBP signaling pathway,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0012507~ER to Golgi transport vesicle membrane,GO:0016021~integral component of membrane,	GO:0015485~cholesterol binding,	IPR000731:Sterol-sensing domain,IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,				SM00320:WD40,	Cholesterol metabolism,Cytoplasmic vesicle,Endoplasmic reticulum,Glycoprotein,Golgi apparatus,Lipid metabolism,Membrane,Repeat,Steroid metabolism,Sterol metabolism,Transmembrane,Transmembrane helix,WD repeat,	chain:Sterol regulatory element-binding protein cleavage-activating protein,domain:SSD,glycosylation site:N-linked (GlcNAc...),region of interest:ER export signal,region of interest:Interaction with srebf,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
Q5FVJ8	SUMO/sentrin peptidase family member, NEDD8 specific(Senp8)	Rattus norvegicus			GO:0006508~proteolysis,		GO:0008234~cysteine-type peptidase activity,	IPR003653:Peptidase C48, SUMO/Sentrin/Ubl1,					Acetylation,Complete proteome,Hydrolase,Protease,Reference proteome,Thiol protease,Ubl conjugation pathway,	active site:Nucleophile,chain:Sentrin-specific protease 8,modified residue,region of interest:Protease,
Q9H270	VPS11, CORVET/HOPS core subunit(VPS11)	Homo sapiens			GO:0006886~intracellular protein transport,GO:0006904~vesicle docking involved in exocytosis,GO:0006914~autophagy,GO:0007032~endosome organization,GO:0007040~lysosome organization,GO:0008333~endosome to lysosome transport,GO:0016192~vesicle-mediated transport,GO:0031647~regulation of protein stability,GO:0034058~endosomal vesicle fusion,GO:0035542~regulation of SNARE complex assembly,GO:1901998~toxin transport,GO:1902115~regulation of organelle assembly,GO:1903364~positive regulation of cellular protein catabolic process,GO:1903955~positive regulation of protein targeting to mitochondrion,GO:2000643~positive regulation of early endosome to late endosome transport,	GO:0005622~intracellular,GO:0005764~lysosome,GO:0005765~lysosomal membrane,GO:0005768~endosome,GO:0005769~early endosome,GO:0005770~late endosome,GO:0005776~autophagosome,GO:0005884~actin filament,GO:0030123~AP-3 adaptor complex,GO:0030136~clathrin-coated vesicle,GO:0030139~endocytic vesicle,GO:0030897~HOPS complex,GO:0031902~late endosome membrane,GO:0033263~CORVET complex,	GO:0000166~nucleotide binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019904~protein domain specific binding,GO:0019905~syntaxin binding,GO:0030674~protein binding, bridging,	IPR000547:Clathrin, heavy chain/VPS, 7-fold repeat,IPR001841:Zinc finger, RING-type,IPR011990:Tetratricopeptide-like helical,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR015943:WD40/YVTN repeat-like-containing domain,IPR016024:Armadillo-type fold,IPR016528:Vacuolar protein sorting-associated protein 11,IPR017986:WD40-repeat-containing domain,IPR024763:Vacuolar protein sorting protein 11, C-terminal,				SM00184:RING,	Acetylation,Autophagy,Coiled coil,Complete proteome,Cytoplasmic vesicle,Disease mutation,Endosome,Leukodystrophy,Lysosome,Membrane,Metal-binding,Methylation,Nucleotide-binding,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Repeat,Transport,Zinc,Zinc-finger,	chain:Vacuolar protein sorting-associated protein 11 homolog,modified residue,repeat:Clathrin,sequence conflict,sequence variant,zinc finger region:RING-type,
Q8C190	VPS9 domain containing 1(Vps9d1)	Mus musculus						IPR003123:Vacuolar sorting protein 9,IPR007330:MIT,				SM00167:VPS9,	Alternative splicing,Complete proteome,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Uncharacterized protein C16orf7 homolog,domain:VPS9,splice variant,
Q6PAX7	WD repeat domain 1 S homeolog(wdr1.S)	Xenopus laevis			GO:0030043~actin filament fragmentation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005884~actin filament,GO:0005886~plasma membrane,	GO:0003779~actin binding,GO:0051015~actin filament binding,	IPR001680:WD40 repeat,IPR011045:Nitrous oxide reductase, N-terminal,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,IPR020472:G-protein beta WD-40 repeat,IPR024977:Anaphase-promoting complex subunit 4, WD40 domain,				SM00320:WD40,	Actin-binding,Cell membrane,Cytoplasm,Cytoskeleton,Membrane,Nucleus,Repeat,WD repeat,	chain:WD repeat-containing protein 1-B,repeat:WD 1,repeat:WD 10,repeat:WD 11,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,repeat:WD 8,repeat:WD 9,
Q9D994	WD repeat domain 38(Wdr38)	Mus musculus			GO:0002244~hematopoietic progenitor cell differentiation,			IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,IPR020472:G-protein beta WD-40 repeat,				SM00320:WD40,	Complete proteome,Reference proteome,Repeat,WD repeat,	chain:WD repeat-containing protein 38,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,
Q61824	a disintegrin and metallopeptidase domain 12 (meltrin alpha)(Adam12)	Mus musculus	m_cardiacEGFPathway:Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy,		GO:0006508~proteolysis,GO:0007155~cell adhesion,GO:0007173~epidermal growth factor receptor signaling pathway,	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,GO:0008233~peptidase activity,GO:0008237~metallopeptidase activity,GO:0016787~hydrolase activity,GO:0017124~SH3 domain binding,GO:0046872~metal ion binding,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	Cell adhesion,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,EGF-like domain,Glycoprotein,Hydrolase,Membrane,Metal-binding,Metalloprotease,Phosphoprotein,Protease,Reference proteome,SH3-binding,Signal,Transmembrane,Transmembrane helix,Zinc,Zymogen,	chain:Disintegrin and metalloproteinase domain- containing protein 12,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,modified residue,short sequence motif:Cysteine switch,short sequence motif:SH3-binding; class I,short sequence motif:SH3-binding; class II,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q3B7N2	actinin alpha 1(ACTN1)	Bos taurus			GO:0030220~platelet formation,GO:0043462~regulation of ATPase activity,GO:0045214~sarcomere organization,GO:0046928~regulation of neurotransmitter secretion,GO:0048041~focal adhesion assembly,GO:0048741~skeletal muscle fiber development,GO:0051017~actin filament bundle assembly,GO:0051234~establishment of localization,GO:0051271~negative regulation of cellular component movement,GO:0051639~actin filament network formation,GO:0051764~actin crosslink formation,GO:1903506~regulation of nucleic acid-templated transcription,	GO:0001725~stress fiber,GO:0001726~ruffle,GO:0005615~extracellular space,GO:0005884~actin filament,GO:0005903~brush border,GO:0005915~zonula adherens,GO:0005916~fascia adherens,GO:0005923~bicellular tight junction,GO:0005925~focal adhesion,GO:0012506~vesicle membrane,GO:0016328~lateral plasma membrane,GO:0030018~Z disc,GO:0030027~lamellipodium,GO:0030486~smooth muscle dense body,GO:0031252~cell leading edge,GO:0042383~sarcolemma,GO:0070062~extracellular exosome,GO:0090636~outer dense plaque of desmosome,GO:0090637~inner dense plaque of desmosome,GO:0097433~dense body,GO:1990357~terminal web,	GO:0003725~double-stranded RNA binding,GO:0005178~integrin binding,GO:0005509~calcium ion binding,GO:0005523~tropomyosin binding,GO:0017166~vinculin binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,GO:0042803~protein homodimerization activity,GO:0043495~protein anchor,GO:0044325~ion channel binding,GO:0051015~actin filament binding,GO:0051393~alpha-actinin binding,	IPR001589:Actinin-type, actin-binding, conserved site,IPR001715:Calponin homology domain,IPR002017:Spectrin repeat,IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR014837:EF-hand, Ca insensitive,IPR018159:Spectrin/alpha-actinin,IPR018247:EF-Hand 1, calcium-binding site,IPR026921:Alpha-actinin,	bta04510:Focal adhesion,bta04520:Adherens junction,bta04530:Tight junction,bta04670:Leukocyte transendothelial migration,bta04810:Regulation of actin cytoskeleton,bta05146:Amoebiasis,bta05203:Viral carcinogenesis,bta05322:Systemic lupus erythematosus,			SM00033:CH,SM00054:EFh,SM00150:SPEC,	Acetylation,Actin-binding,Calcium,Cell junction,Cell membrane,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Membrane,Metal-binding,Phosphoprotein,Reference proteome,Repeat,	chain:Alpha-actinin-1,domain:Actin-binding,domain:CH 1,domain:CH 2,domain:EF-hand 1,domain:EF-hand 2,modified residue,region of interest:Interaction with DDN,repeat:Spectrin 1,repeat:Spectrin 2,repeat:Spectrin 3,repeat:Spectrin 4,
P12814	actinin alpha 1(ACTN1)	Homo sapiens	h_cell2cellPathway:Cell to Cell Adhesion Signaling,h_integrinPathway:Integrin Signaling Pathway,h_uCalpainPathway:uCalpain and friends in Cell spread,		GO:0002576~platelet degranulation,GO:0007015~actin filament organization,GO:0030168~platelet activation,GO:0030220~platelet formation,GO:0036344~platelet morphogenesis,GO:0042981~regulation of apoptotic process,GO:0048041~focal adhesion assembly,GO:0051017~actin filament bundle assembly,GO:0051271~negative regulation of cellular component movement,GO:0051639~actin filament network formation,GO:0051764~actin crosslink formation,GO:0070527~platelet aggregation,GO:1903506~regulation of nucleic acid-templated transcription,	GO:0001725~stress fiber,GO:0001726~ruffle,GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005884~actin filament,GO:0005886~plasma membrane,GO:0005903~brush border,GO:0005911~cell-cell junction,GO:0005916~fascia adherens,GO:0005925~focal adhesion,GO:0030018~Z disc,GO:0031093~platelet alpha granule lumen,GO:0031143~pseudopodium,GO:0042995~cell projection,GO:0070062~extracellular exosome,	GO:0003725~double-stranded RNA binding,GO:0005178~integrin binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0017166~vinculin binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,GO:0042803~protein homodimerization activity,GO:0044325~ion channel binding,GO:0051015~actin filament binding,	IPR001589:Actinin-type, actin-binding, conserved site,IPR001715:Calponin homology domain,IPR002017:Spectrin repeat,IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR014837:EF-hand, Ca insensitive,IPR018159:Spectrin/alpha-actinin,IPR018247:EF-Hand 1, calcium-binding site,IPR026921:Alpha-actinin,	hsa04510:Focal adhesion,hsa04520:Adherens junction,hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,hsa05146:Amoebiasis,hsa05203:Viral carcinogenesis,hsa05322:Systemic lupus erythematosus,	615193~Bleeding disorder, platelet-type, 15,		SM00033:CH,SM00054:EFh,SM00150:SPEC,	3D-structure,Acetylation,Actin-binding,Alternative splicing,Calcium,Cell junction,Cell membrane,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Direct protein sequencing,Disease mutation,Membrane,Metal-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Alpha-actinin-1,domain:Actin-binding,domain:CH 1,domain:CH 2,domain:EF-hand 1,domain:EF-hand 2,helix,modified residue,region of interest:Interaction with DDN,repeat:Spectrin 1,repeat:Spectrin 2,repeat:Spectrin 3,repeat:Spectrin 4,sequence conflict,sequence variant,strand,turn,
P79098	alanyl aminopeptidase, membrane(ANPEP)	Bos taurus		Amino acid transport and metabolism,	GO:0001525~angiogenesis,GO:0006508~proteolysis,GO:0030154~cell differentiation,GO:0043171~peptide catabolic process,GO:0046718~viral entry into host cell,	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005765~lysosomal membrane,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0001618~virus receptor activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0042277~peptide binding,GO:0070006~metalloaminopeptidase activity,	IPR001930:Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase,IPR014782:Peptidase M1, membrane alanine aminopeptidase, N-terminal,IPR024571:Domain of unknown function DUF3358,	bta00480:Glutathione metabolism,bta01100:Metabolic pathways,bta04614:Renin-angiotensin system,bta04640:Hematopoietic cell lineage,				Aminopeptidase,Angiogenesis,Complete proteome,Developmental protein,Differentiation,Disulfide bond,Glycoprotein,Host cell receptor for virus entry,Hydrolase,Membrane,Metal-binding,Metalloprotease,Protease,Receptor,Reference proteome,Signal-anchor,Sulfation,Transmembrane,Transmembrane helix,Zinc,	active site:Proton donor,chain:Aminopeptidase N,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,modified residue,region of interest:Cytosolic Ser/Thr-rich junction,region of interest:Metalloprotease,topological domain:Cytoplasmic,transmembrane region,
Q5RE52	anaphase promoting complex subunit 5(ANAPC5)	Pongo abelii			GO:0007067~mitotic nuclear division,GO:0051301~cell division,GO:0070979~protein K11-linked ubiquitination,	GO:0005680~anaphase-promoting complex,		IPR011990:Tetratricopeptide-like helical,IPR019734:Tetratricopeptide repeat,IPR026000:Anaphase-promoting complex subunit 5,TPR-containing domain,	pon04110:Cell cycle,pon04114:Oocyte meiosis,pon04120:Ubiquitin mediated proteolysis,pon04914:Progesterone-mediated oocyte maturation,pon05166:HTLV-I infection,			SM00028:TPR,	Cell cycle,Cell division,Complete proteome,Mitosis,Phosphoprotein,Reference proteome,Repeat,TPR repeat,Ubl conjugation pathway,	chain:Anaphase-promoting complex subunit 5,modified residue,repeat:TPR 1,repeat:TPR 2,repeat:TPR 3,repeat:TPR 4,
