ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
P57772	eukaryotic elongation factor, selenocysteine-tRNA specific(EEFSEC)	Homo sapiens			GO:0001514~selenocysteine incorporation,GO:0006412~translation,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0030529~intracellular ribonucleoprotein complex,	GO:0000049~tRNA binding,GO:0003746~translation elongation factor activity,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0035368~selenocysteine insertion sequence binding,GO:0043021~ribonucleoprotein complex binding,	IPR000795:Elongation factor, GTP-binding domain,IPR009000:Translation elongation/initiation factor/Ribosomal, beta-barrel,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Alternative splicing,Complete proteome,Cytoplasm,GTP-binding,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Protein biosynthesis,Proteomics identification,Reference proteome,	chain:Selenocysteine-specific elongation factor,nucleotide phosphate-binding region:GTP,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,
Q9NV70	exocyst complex component 1(EXOC1)	Homo sapiens			GO:0006887~exocytosis,GO:0006893~Golgi to plasma membrane transport,GO:0015031~protein transport,GO:0016241~regulation of macroautophagy,GO:0048015~phosphatidylinositol-mediated signaling,GO:0050714~positive regulation of protein secretion,GO:0051601~exocyst localization,	GO:0000145~exocyst,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0098592~cytoplasmic side of apical plasma membrane,	GO:0005515~protein binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0017049~GTP-Rho binding,	IPR019160:Exocyst complex, component Exoc1,				SM01313:SM01313,	Alternative splicing,Coiled coil,Complete proteome,Direct protein sequencing,Exocytosis,Phosphoprotein,Protein transport,Reference proteome,Transport,	chain:Exocyst complex component 1,modified residue,sequence conflict,splice variant,
A1L253	family with sequence similarity 149, member B1(fam149b1)	Danio rerio						IPR022194:Protein of unknown function DUF3719,					Complete proteome,Reference proteome,	chain:Protein FAM149B1,
P47791	glutathione reductase(Gsr)	Mus musculus	m_freePathway:Free Radical Induced Apoptosis,		GO:0006749~glutathione metabolic process,GO:0007283~spermatogenesis,GO:0045454~cell redox homeostasis,GO:0055114~oxidation-reduction process,	GO:0005623~cell,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0009897~external side of plasma membrane,GO:0070062~extracellular exosome,	GO:0004362~glutathione-disulfide reductase activity,GO:0016491~oxidoreductase activity,GO:0016668~oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor,GO:0042803~protein homodimerization activity,GO:0043295~glutathione binding,GO:0050660~flavin adenine dinucleotide binding,GO:0050661~NADP binding,	IPR004099:Pyridine nucleotide-disulphide oxidoreductase, dimerisation,IPR006322:Glutathione reductase, eukaryote/bacterial,IPR012999:Pyridine nucleotide-disulphide oxidoreductase, class I, active site,IPR016156:FAD/NAD-linked reductase, dimerisation,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,	mmu00480:Glutathione metabolism,mmu04918:Thyroid hormone synthesis,				Acetylation,Alternative initiation,Complete proteome,Cytoplasm,Disulfide bond,FAD,Flavoprotein,Mitochondrion,NADP,Oxidoreductase,Redox-active center,Reference proteome,Transit peptide,	active site:Proton acceptor,chain:Glutathione reductase, mitochondrial,disulfide bond,nucleotide phosphate-binding region:FAD,sequence conflict,splice variant,transit peptide:Mitochondrion,
Q66H30	gypsy retrotransposon integrase 1(Gin1)	Rattus norvegicus			GO:0015074~DNA integration,		GO:0003676~nucleic acid binding,	IPR001584:Integrase, catalytic core,IPR012337:Ribonuclease H-like domain,					Complete proteome,Phosphoprotein,Reference proteome,	chain:Gypsy retrotransposon integrase-like protein 1,domain:Integrase catalytic,
Q6AY64	hypothetical protein LOC100125364(LOC100125364)	Rattus norvegicus			GO:0006915~apoptotic process,	GO:0070062~extracellular exosome,							Apoptosis,Complete proteome,Glycoprotein,Reference proteome,Secreted,Signal,	chain:UPF0669 protein C6orf120 homolog,glycosylation site:N-linked (GlcNAc...),signal peptide,
Q0USX0	hypothetical protein(SNOG_05144)	Parastagonospora nodorum SN15		Amino acid transport and metabolism,	GO:0006915~apoptotic process,GO:0051603~proteolysis involved in cellular protein catabolic process,	GO:0005802~trans-Golgi network,GO:0016021~integral component of membrane,	GO:0004185~serine-type carboxypeptidase activity,	IPR001563:Peptidase S10, serine carboxypeptidase,IPR018202:Peptidase S10, serine carboxypeptidase, active site,					Apoptosis,Carboxypeptidase,Complete proteome,Glycoprotein,Golgi apparatus,Hydrolase,Membrane,Protease,Reference proteome,Signal,Transmembrane,Transmembrane helix,
Q8IV20	laccase domain containing 1(LACC1)	Homo sapiens		Secondary metabolites biosynthesis, transport and catabolism,		GO:0005777~peroxisome,	GO:0005507~copper ion binding,GO:0005515~protein binding,	IPR003730:Multi-copper polyphenol oxidoreductase, laccase,IPR011324:Cytotoxic necrotizing factor-like, catalytic,					Complete proteome,Peroxisome,Polymorphism,Proteomics identification,Reference proteome,	chain:UPF0124 protein C13orf31,sequence variant,
Q8CI17	mab-21-like 3 (C. elegans)(Mab21l3)	Mus musculus						IPR024810:Mab-21 domain,				SM01265:SM01265,	Complete proteome,Reference proteome,	chain:Uncharacterized protein C1orf161 homolog,sequence conflict,
Q6NX31	minichromosome maintenance complex component 7(mcm7)	Xenopus tropicalis			GO:0006268~DNA unwinding involved in DNA replication,GO:0006270~DNA replication initiation,GO:0007049~cell cycle,GO:0030174~regulation of DNA-dependent DNA replication initiation,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0042555~MCM complex,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0005524~ATP binding,GO:0046872~metal ion binding,	IPR001208:Mini-chromosome maintenance, DNA-dependent ATPase,IPR003593:AAA+ ATPase domain,IPR008050:DNA replication licensing factor Mcm7,IPR012340:Nucleic acid-binding, OB-fold,IPR018525:Mini-chromosome maintenance, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	xtr03030:DNA replication,xtr04110:Cell cycle,			SM00350:MCM,SM00382:AAA,	ATP-binding,Cell cycle,Complete proteome,DNA replication,DNA-binding,Helicase,Hydrolase,Metal-binding,Nucleotide-binding,Nucleus,Reference proteome,Zinc,Zinc-finger,	chain:DNA replication licensing factor mcm7,domain:MCM,nucleotide phosphate-binding region:ATP,zinc finger region:C4-type,
P10587	myosin, heavy chain 11, smooth muscle(MYH11)	Gallus gallus			GO:0006939~smooth muscle contraction,GO:0030241~skeletal muscle myosin thick filament assembly,GO:0048251~elastic fiber assembly,GO:0048739~cardiac muscle fiber development,GO:0098779~mitophagy in response to mitochondrial depolarization,	GO:0016459~myosin complex,GO:0030016~myofibril,GO:0032982~myosin filament,GO:0070062~extracellular exosome,	GO:0003774~motor activity,GO:0003779~actin binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0008307~structural constituent of muscle,	IPR000048:IQ motif, EF-hand binding site,IPR001609:Myosin head, motor domain,IPR002928:Myosin tail,IPR004009:Myosin, N-terminal, SH3-like,IPR027401:Myosin-like IQ motif-containing domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	gga04530:Tight junction,			SM00015:IQ,SM00242:MYSc,	3D-structure,Actin-binding,ATP-binding,Calmodulin-binding,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,Methylation,Motor protein,Muscle protein,Myosin,Nucleotide-binding,Reference proteome,Thick filament,	chain:Myosin-11,domain:IQ,domain:Myosin head-like,helix,modified residue,nucleotide phosphate-binding region:ATP,region of interest:Actin-binding,region of interest:Rodlike tail (S2 and LMM domains),sequence conflict,strand,turn,
Q9QYT7	phosphatidylinositol glycan anchor biosynthesis, class Q(Pigq)	Mus musculus			GO:0006506~GPI anchor biosynthetic process,	GO:0000506~glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0016740~transferase activity,GO:0016757~transferase activity, transferring glycosyl groups,GO:0017176~phosphatidylinositol N-acetylglucosaminyltransferase activity,	IPR007720:N-acetylglucosaminyl transferase component,	mmu00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,mmu01100:Metabolic pathways,				Complete proteome,Glycosyltransferase,GPI-anchor biosynthesis,Membrane,Proteomics identification,Reference proteome,Signal,Transferase,Transmembrane,Transmembrane helix,	chain:Phosphatidylinositol N- acetylglucosaminyltransferase subunit Q,sequence conflict,transmembrane region,
Q6GLP4	required for meiotic nuclear division 5 homolog A L homeolog(rmnd5a.L)	Xenopus laevis		General function prediction only,				IPR006594:LisH dimerisation motif,IPR006595:CTLH, C-terminal LisH motif,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013144:CRA domain,IPR024964:CTLH/CRA C-terminal to LisH motif domain,				SM00668:CTLH,SM00757:CRA,		chain:Protein RMD5 homolog A,domain:CTLH,domain:LisH,
Q15831	serine/threonine kinase 11(STK11)	Homo sapiens			GO:0001558~regulation of cell growth,GO:0001894~tissue homeostasis,GO:0001944~vasculature development,GO:0006468~protein phosphorylation,GO:0006914~autophagy,GO:0006974~cellular response to DNA damage stimulus,GO:0007050~cell cycle arrest,GO:0007283~spermatogenesis,GO:0007286~spermatid development,GO:0007409~axonogenesis,GO:0008285~negative regulation of cell proliferation,GO:0010212~response to ionizing radiation,GO:0010508~positive regulation of autophagy,GO:0030010~establishment of cell polarity,GO:0030111~regulation of Wnt signaling pathway,GO:0030308~negative regulation of cell growth,GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway,GO:0032147~activation of protein kinase activity,GO:0036399~TCR signalosome assembly,GO:0042593~glucose homeostasis,GO:0043276~anoikis,GO:0045059~positive thymic T cell selection,GO:0046777~protein autophosphorylation,GO:0048814~regulation of dendrite morphogenesis,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050772~positive regulation of axonogenesis,GO:0050852~T cell receptor signaling pathway,GO:0051055~negative regulation of lipid biosynthetic process,GO:0051645~Golgi localization,GO:0051896~regulation of protein kinase B signaling,GO:0060070~canonical Wnt signaling pathway,GO:0060770~negative regulation of epithelial cell proliferation involved in prostate gland development,GO:0071493~cellular response to UV-B,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,GO:0097484~dendrite extension,GO:1900182~positive regulation of protein localization to nucleus,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904262~negative regulation of TORC1 signaling,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0016020~membrane,GO:0036398~TCR signalosome,GO:0070062~extracellular exosome,	GO:0000287~magnesium ion binding,GO:0002039~p53 binding,GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0030275~LRR domain binding,GO:0030295~protein kinase activator activity,	IPR000719:Protein kinase, catalytic domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,IPR020636:Calcium/calmodulin-dependent/calcium-dependent protein kinase,	hsa04068:FoxO signaling pathway,hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04920:Adipocytokine signaling pathway,	175200~Peutz-Jeghers syndrome,260350~Pancreatic cancer,273300~Testicular tumor, somatic,Melanoma, malignant, somatic~Melanoma, malignant, somatic,		SM00220:S_TKc,	3D-structure,Acetylation,Alternative splicing,Apoptosis,ATP-binding,Autophagy,Cell cycle,Complete proteome,Cytoplasm,Differentiation,Disease mutation,DNA damage,Kinase,Lipoprotein,Magnesium,Manganese,Membrane,Metal-binding,Methylation,Mitochondrion,Nucleotide-binding,Nucleus,Palmitate,Phosphoprotein,Polymorphism,Prenylation,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Spermatogenesis,Transferase,Tumor suppressor,	active site:Proton acceptor,binding site:ATP,chain:Serine/threonine-protein kinase 11,domain:Protein kinase,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,sequence variant,
P61956	small ubiquitin-like modifier 2(SUMO2)	Homo sapiens	h_sumoPathway:Basic Mechanisms of SUMOylation,		GO:0016925~protein sumoylation,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0070911~global genome nucleotide-excision repair,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016605~PML body,	GO:0005515~protein binding,GO:0019789~SUMO transferase activity,GO:0031386~protein tag,GO:0031625~ubiquitin protein ligase binding,GO:0044822~poly(A) RNA binding,	IPR000626:Ubiquitin,IPR022617:Small ubiquitin-related modifier, SUMO,IPR027218:Small ubiquitin-related modifier, chordates,	hsa03013:RNA transport,			SM00213:UBQ,	3D-structure,Acetylation,Alternative splicing,Complete proteome,Isopeptide bond,Nucleus,Polymorphism,Reference proteome,Ubl conjugation,Ubl conjugation pathway,	chain:Small ubiquitin-related modifier 2,chain:Small ubiquitin-related modifier 3,cross-link:Glycyl lysine isopeptide (Gly-Lys) (interchain with K-? in acceptor proteins),cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),domain:Ubiquitin-like,helix,modified residue,mutagenesis site,sequence conflict,sequence variant,strand,turn,
Q9CR62	solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11(Slc25a11)	Mus musculus	m_malatePathway:Malate-aspartate shuttle,m_malatexPathway:Shuttle for transfer of acetyl groups from mitochondria to the cytosol,		GO:0006412~translation,GO:0006810~transport,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003735~structural constituent of ribosome,GO:0005215~transporter activity,GO:0044822~poly(A) RNA binding,	IPR018108:Mitochondrial substrate/solute carrier,IPR023395:Mitochondrial carrier domain,					Acetylation,Complete proteome,Direct protein sequencing,Membrane,Mitochondrion,Mitochondrion inner membrane,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:Mitochondrial 2-oxoglutarate/malate carrier protein,modified residue,repeat:Solcar 1,repeat:Solcar 2,repeat:Solcar 3,transmembrane region,
Q640L2	solute carrier family 37 member 3 L homeolog(slc37a3.L)	Xenopus laevis			GO:0008643~carbohydrate transport,GO:0055085~transmembrane transport,	GO:0030176~integral component of endoplasmic reticulum membrane,	GO:0005215~transporter activity,	IPR000849:Sugar phosphate transporter,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,			PIRSF002808:hexose phosphate transporter,		Endoplasmic reticulum,Glycoprotein,Membrane,Sugar transport,Transmembrane,Transmembrane helix,Transport,	chain:Sugar phosphate exchanger 3,glycosylation site:N-linked (GlcNAc...),transmembrane region,
Q9R1R2	tripartite motif-containing 3(Trim3)	Mus musculus			GO:0006810~transport,GO:0015031~protein transport,GO:0016567~protein ubiquitination,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005769~early endosome,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR000315:Zinc finger, B-box,IPR001258:NHL repeat,IPR001298:Filamin/ABP280 repeat,IPR001841:Zinc finger, RING-type,IPR003649:B-box, C-terminal,IPR011042:Six-bladed beta-propeller, TolB-like,IPR013017:NHL repeat, subgroup,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR017868:Filamin/ABP280 repeat-like,IPR017907:Zinc finger, RING-type, conserved site,IPR027370:RING-type zinc-finger, LisH dimerisation motif,				SM00184:RING,SM00336:BBOX,SM00502:BBC,SM00557:IG_FLMN,	Acetylation,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Endosome,Golgi apparatus,Metal-binding,Phosphoprotein,Protein transport,Proteomics identification,Reference proteome,Repeat,Transport,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 3,modified residue,repeat:Filamin,repeat:NHL 1,repeat:NHL 2,repeat:NHL 3,repeat:NHL 4,repeat:NHL 5,repeat:NHL 6,zinc finger region:B box-type,zinc finger region:RING-type,
O70277	tripartite motif-containing 3(Trim3)	Rattus norvegicus		Function unknown,	GO:0015031~protein transport,GO:0016567~protein ubiquitination,	GO:0005737~cytoplasm,GO:0005769~early endosome,GO:0005794~Golgi apparatus,GO:0030425~dendrite,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR000315:Zinc finger, B-box,IPR001258:NHL repeat,IPR001298:Filamin/ABP280 repeat,IPR001841:Zinc finger, RING-type,IPR003649:B-box, C-terminal,IPR011042:Six-bladed beta-propeller, TolB-like,IPR013017:NHL repeat, subgroup,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR017868:Filamin/ABP280 repeat-like,IPR017907:Zinc finger, RING-type, conserved site,IPR027370:RING-type zinc-finger, LisH dimerisation motif,				SM00184:RING,SM00336:BBOX,SM00502:BBC,SM00557:IG_FLMN,	Acetylation,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Endosome,Golgi apparatus,Metal-binding,Phosphoprotein,Protein transport,Proteomics identification,Reference proteome,Repeat,Transport,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 3,modified residue,repeat:Filamin,repeat:NHL 1,repeat:NHL 2,repeat:NHL 3,repeat:NHL 4,repeat:NHL 5,repeat:NHL 6,zinc finger region:B box-type,zinc finger region:RING-type,
P28289	tropomodulin 1(TMOD1)	Homo sapiens			GO:0006936~muscle contraction,GO:0007015~actin filament organization,GO:0008344~adult locomotory behavior,GO:0030049~muscle filament sliding,GO:0030239~myofibril assembly,GO:0051694~pointed-end actin filament capping,GO:0070307~lens fiber cell development,	GO:0005829~cytosol,GO:0005865~striated muscle thin filament,GO:0005884~actin filament,GO:0008180~COP9 signalosome,GO:0016020~membrane,GO:0030016~myofibril,GO:0030017~sarcomere,GO:0030863~cortical cytoskeleton,	GO:0003779~actin binding,GO:0005523~tropomyosin binding,GO:0051015~actin filament binding,	IPR004934:Tropomodulin,					3D-structure,Actin-binding,Alternative splicing,Complete proteome,Cytoplasm,Cytoskeleton,Direct protein sequencing,Reference proteome,	chain:Tropomodulin-1,region of interest:Tropomyosin-binding,sequence conflict,
Q4WVW4	vacuolar armadillo repeat protein Vac8(AFUA_5G13540)	Aspergillus fumigatus Af293			GO:0000011~vacuole inheritance,GO:0016236~macroautophagy,GO:0042144~vacuole fusion, non-autophagic,GO:0071562~nucleus-vacuole junction assembly,	GO:0000329~fungal-type vacuole membrane,GO:0005794~Golgi apparatus,GO:0071561~nucleus-vacuole junction,GO:0071563~Myo2p-Vac17p-Vac8p transport complex,		IPR000225:Armadillo,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,				SM00185:ARM,	Complete proteome,Lipoprotein,Membrane,Reference proteome,Repeat,Vacuole,	chain:Vacuolar protein 8,repeat:ARM 1,repeat:ARM 2,repeat:ARM 3,repeat:ARM 4,repeat:ARM 5,repeat:ARM 6,repeat:ARM 7,repeat:ARM 8,repeat:ARM 9,
O60290	zinc finger protein 862(ZNF862)	Homo sapiens			GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,	GO:0005634~nucleus,	GO:0003676~nucleic acid binding,GO:0046872~metal ion binding,GO:0046983~protein dimerization activity,	IPR001909:Krueppel-associated box,IPR006580:Zinc finger, TTF-type,IPR008906:HAT dimerisation,IPR012337:Ribonuclease H-like domain,IPR026613:KRAB domain C2H2 zinc finger family,				SM00349:KRAB,SM00597:ZnF_TTF,	Alternative splicing,Complete proteome,Metal-binding,Nucleus,Polymorphism,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Zinc finger protein 862,domain:KRAB 1,domain:KRAB 2,sequence variant,splice variant,zinc finger region:TTF-type 1,zinc finger region:TTF-type 2,
